回,トピック,説明
A2,グラフの種類,データや分析結果を可視化するためにはグラフが非常に有用です。統計学の初歩として、様々なグラフの作成方法を学びます。データの性質や目的に応じて、以下のような基本的なグラフを使い分けます。1. 棒グラフ：カテゴリーごとの数値を示す際に使います。2. 円グラフ：全体に対する割合を示す際に使います。3. ヒストグラム：データの分布を示す際に使います。4. 折れ線グラフ：時系列データの変動を示す際に使います。5. 箱ひげ図：データのばらつきを示す際に使います。6. 散布図：2変数の関係を示す際に使います。これらのグラフは、データの特性や分析の目的に応じて適切に選択し、使いこなす必要があります。
A2,データ可視化の重要性,記述統計学はデータを分析して数値的な結果を調べるだけでなく、それをグラフ化して伝えることも含まれます。グラフは分析者本人がデータを理解するために重要ですが、それを他者へ伝える際にはさらに重要です。客観的な真実であっても、長い文章だけでは伝わりにくいため、グラフを適切に用いることで、データや分析結果を直観的・視覚的に伝えることができます。データを効果的に伝えるための表現法をデータ可視化（視覚化）と呼びます。グラフでデータを「魅せる」ことは表面的な見栄えを良くするだけでなく、情報を直感的に理解できるようにするための重要なテクニックです。最近では、インフォグラフィックスという、データを視覚的にわかりやすく表現する手法も注目されています。
A2,例：映画の登場人物の男女差,メディアにおける女性問題の調査として、映画の登場人物とセリフの長さを男女で比較した結果が示されています。男性のセリフの長さが女性の倍であることが指摘されており、これが映画を通じて無意識の刷り込みに繋がっている可能性があるとしています。この調査結果は棒グラフを「アイコン」で表現することで、一枚のグラフで問題提起を行うインフォグラフィックスの例となっています。
A2,まとめ,この講義では、データとは何か、データの尺度、データの形式、そしてデータの可視化について学びました。データの理解と適切な分析手法を用いることで、情報を効果的に伝える技術を身につけることができます。小テストの受験を忘れないようにしてください。
A3,データの全体像を捉える,統計学において、興味ある集団の量的データを扱う際、データ自体は大量の数字の羅列に過ぎず、そのままでは理解が難しいものです。そこで、データ全体の傾向を視覚的・直観的に捉える方法として「度数分布」を学びます。度数分布は、記述統計学全体の基本となるだけでなく、統計学Bで学ぶ確率分布の基本でもあります。
A3,度数分布とは,"例えば、ある20人の集団の体重データがあるとします。このデータを理解するためには、そのための「方法」が必要です。次のような度数分布表を作成することで、データを理解しやすくします。

階級 30-40 40-50 50-60 60-70 70-80 計
度数 2 3 8 5 2 20

この表では、体重30kg以上40kg未満、40kg以上50kg未満といった階級を設定し、それぞれの階級に属するデータの個数（度数）を表しています。度数分布表により、どんな値のデータがどれくらいの頻度で出現しているかが分かります。階級ごとにデータを分類することで、複雑だった大量のデータを「一つの軸」のみでまとめることができ、単純な表に見えても情報量は非常に多いです。"
A3,度数分布から分かること,"度数分布表を使うことで、以下のような情報を得ることができます。
- 範囲：最小でも30kg、最大でも80kgの範囲であることが分かります。
- 中心：一番度数が多いクラスは50-60kgであり、このクラスがデータの中心に位置します。
- 散らばり・分布の形状：階級が大きくなるほど度数が増え、ある階級以降は度数が減っていくという形状が見られます。
このように、データを度数分布で表すことで、データ全体の範囲、中心、散らばり具合などの情報を読み取ることができます。複雑に見えた大量のデータを、少量の数値に置き換えることで、集団に関する情報を集約し、理解しやすくなります。逆に、オリジナルのデータを知らなくても、度数分布表だけでかなりの情報を得ることができます。"
A3,ヒストグラム,度数分布表を、横軸に階級、縦軸に度数（頻度）を取って棒グラフで表現したものをヒストグラムと呼びます。ヒストグラムは度数分布表より直観的で、言語にも依存しにくい特徴があります。データがあれば、とにかくヒストグラムを作り、そのヒストグラムを見て言葉で解釈することが大切です。ヒストグラムを使うことで、先入観・偏見・個人的な経験を超えて、客観的なデータから未知のことを可視化できるという利点があります。
A3,度数分布表の作り方,"度数分布表はエクセルなどで簡単に作成できますが、ここでは基本的な考え方に馴染むために、簡単な数値例を用いて手作りしてみます。手順は以下の通りです。
1. 階級の数を決める：データ数に応じて5~20ほど設定します。
2. 階級の幅を決める：最大値と最小値を見つけ、次式で設定します。
階級の幅 ＝ (最大値 - 最小値) / 階級の数
ただし、キリの良い数値に設定するのが望ましいです。
3. 階級の境界を確定する：まず最小値が入る最も小さい階級を設定し、幅を基にすべての階級を設定します。
4. 階級ごとに度数をカウント：ひたすら数えて度数を記録します。"
A3,練習,例えば、2019年8月の京都市の日別最高気温のデータを使って度数分布表を完成させます。階級数を6、階級幅を2と設定し、最小の階級は「28-30」とします。
A3,練習とエクセルでの方法,度数分布表の作り方を練習するために、具体的なデータを使って実際に度数分布表を作成します。例えば、2019年8月の京都市の日別最高気温のデータを使用して、度数分布表を作成します。この例では、階級数を6、階級幅を2として、最小の階級を「28-30」に設定します。具体的には以下のように表を完成させます。
A3,度数分布表の例,"階級 28-30 30-32 32-34 34-36 36-38 38-40 計
度数 4 5 4 8 6 4 31
この表を基にヒストグラムを作成し、各階級の頻度を視覚的に確認します。これにより、どの範囲での最高気温が多かったかを直観的に理解することができます。"
A3,エクセルでの方法（新）,"最近のエクセルでは、ヒストグラムが簡単に作成できるようになっています。以下の手順でヒストグラムを作成します。
1. データ範囲を選択し、グラフのヒストグラムをクリックします。
2. これだけで暫定的なヒストグラムが出力されます。
3. 後から書式設定で「ビンの幅」や「ビンの数」を設定できます。
ただし、簡単に出力できるようになった分、階級の下限などの細かい設定ができなくなっているため、融通が利かない場合があります。また、最小のデータ値が小数だと階級が見にくくなることに注意が必要です。"
A3,エクセルでの方法（旧）,"従来のエクセルでの方法も紹介します。
1. 度数分布表を作りたいデータと、階級の境界値の列を準備します。
2. 「データタブ」→「データ分析」→「ヒストグラム」を選択します。
3. 「入力範囲」→ データの列をドラッグして選択します。
4. 「データ区間」→ 階級の境界値の列をドラッグして選択します。
5. 「☑ グラフ作成」にチェックを入れます。
エクセルでは、階級の境界値は「○○以下」を表していることに注意してください。"
A3,まとめ,この講義では、度数分布表、ヒストグラム、エクセルでの方法について学びました。度数分布表とヒストグラムを使うことで、データ全体の範囲、中心、散らばり具合などを視覚的・直観的に理解することができます。エクセルを使えば、これらのグラフを簡単に作成できるため、実際のデータ分析において非常に有用です。今回学んだ内容を元に、小テストを受験することを忘れずに行いましょう。
A4,代表値,データ全体の傾向を表す指標について学びます。データの最大値や最小値はそのデータの範囲を知るのに有用ですが、これらの極端な値は「代表」とは考えづらいです。もし、集団を代表するような1つの値を知ることができれば、その集団のことをより簡単に理解できます。今回はデータの代表値について学びます。
A4,例：女性の初婚数の推移,1995年と2015年の女性の年齢別初婚数のデータを比較すると、女性の初婚年齢にどう変化があったのかが見えてきます。このようなデータはヒストグラムだけでは詳細が見えにくいことがあります。
A4,データの中心,"次に、数値データの中心の指標について考えます。例えば、以下の9つのデータがあります。
3, 5, 2, 5, 2, 1, 4, 5, 27
データの中心としてまず頭に浮かぶのは平均です。平均は、全てのデータの値を足してデータの総数で割ったものです。一般に、1つの系列のn個のデータ x1, x2, ..., xn があるとき、平均値（average, mean, 算術平均値ともいう）は以下のように計算されます。

x̄ = (1/n) * Σ xi

この式は、全てのデータの値を足して、データの個数nで割るという数学的操作によってデータの情報を圧縮したものです。"
A4,平均値の注意,"平均値を計算するとき、極端な値に強く依存する結果が出ることがあります。例えば、以下のデータの場合、平均値は6になりますが、この値は27という極端な値に引っ張られて高めの値が出ています。

3, 5, 2, 5, 2, 1, 4, 5, 27

このように、平均値は極端な値に強く依存するため、データの中心として適切ではない場合があります。そのため、データの中心の概念は、我々が“どんな中心を知りたいのか”に基づいて採用する必要があります。"
A4,データの中心は平均だけではない,"データの中心に関する指標は平均値だけではありません。以下の2つの指標も重要です。

1. 中央値（median）：データを小さい順に並べたときのちょうど真ん中にくる値です。データが偶数個の場合は、真ん中に位置する2つの値の平均値を中央値とします。中央値は極端な値に強く依存しない性質を持ち、ロバスト（頑健）な指標です。

2. 最頻値（mode）：データの値それぞれの度数を数えたとき、最大の度数にあたるデータの値です。ヒストグラムのピークに相当する階級の値とも言えます。最頻値は圧倒的多数となるデータの値を代表とする指標です。"
A4,中央値,"中央値はデータを小さい順に並べ替えたときの真ん中の値です。例えば、以下のデータを考えてみます。

3, 5, 2, 5, 2, 1, 4, 5, 27

このデータを小さい順に並べ替えると、

1, 2, 2, 3, 4, 5, 5, 5, 27

となり、中央値は4です。中央値はデータの順位に基づくため、極端な値に対して安定的です。しかし、中央値は数学的に扱いにくいという短所があります。"
A4,最頻値,"最頻値はデータの値それぞれの度数を数えたとき、最大の度数にあたるデータの値です。例えば、以下のデータの場合、

3, 5, 2, 5, 2, 1, 4, 5, 27

度数をカウントすると、

1 → 1回
2 → 2回
3 → 1回
4 → 1回
5 → 3回
27 → 1回

となり、最頻値は5です。最頻値は一つに決まるとは限らず、タイが起こることもあります。また、最頻値は小数をとらないため、質的なデータにも使用できます。"
A4,代表値の注意,単峰で左右対称のヒストグラムなら、平均値、中央値、最頻値は同じ値になります。しかし、左右対称でないヒストグラムなら、これら3つの指標をすべて報告した方が良いです。分布が偏っている場合、平均値だけでは不十分であり、中央値や最頻値も報告する必要があります。
A4,例：家計の貯蓄額,例えば、家計の貯蓄額のデータでは、最頻値が100万円以下、中央値が約761万円、平均値が約1309万円となります。このように、3つの代表値はそれぞれ異なる数値を示し、それぞれの見え方も異なります。これら3つの指標をすべて報告することで、集団のことを深く理解することができます。
A4,中央値の注意,"中央値はデータの絶対的な値に注目するのではなく、データの順位に焦点を当てて「真ん中」を探る指標です。中央値は順序的な意味でフェアであり、極端な値に対しても安定的な指標です。一方、平均値はデータの絶対値に対してフェアです。どちらも客観的な指標であり、どちらが正しいというわけではありません。
ヒストグラムが左右対称なら、中央値は平均値と一致します。しかし、中央値は数学的に扱いにくいという短所があります。このため、実務では平均値を重視する習慣がいまだに見られます。"
A4,最頻値,"最頻値（mode）は、データの値それぞれの度数を数えたとき、最大の度数にあたるデータの値です。ヒストグラムのピークに相当する階級の値とも言えます。最頻値は圧倒的多数となるデータの値を代表とする指標であり、x_{mode} と表されます。
最頻値は一つに決まるとは限らず、タイが起こることもあります。最頻値が1つの場合の分布を単峰、2つ以上の場合を多峰といいます。また、最頻値は小数を取らないため、質的なデータにも使用できます。例えば、「大変良い」「良い」「悪い」などのアンケートデータにも最頻値を適用できます。"
A4,代表値の注意,単峰で左右対称のヒストグラムなら、平均値、中央値、最頻値は同じ値になります。この場合、平均値だけを報告しても問題ありません。しかし、左右対称でないヒストグラムの場合、これら3つの指標をすべて報告した方が良いです。分布が偏っているときは、平均値だけでは不十分であり、中央値や最頻値も報告することが重要です。
A4,例：家計の貯蓄額,"家計の貯蓄額のデータを例に取ると、以下のようになります。
- 最頻値：100万円以下
- 中央値：761万円
- 平均値：1309万円
この例では、貯蓄額の分布が左右対称でなく、右に歪んでいることがわかります。このように、3つの代表値はそれぞれ異なる数値を示し、見え方も異なります。これら3つの指標をすべて報告することで、集団のことを深く理解することができます。"
A4,練習,"以下のデータについて、平均値、中央値、最頻値を求めてみましょう。

1, 5, 6, 1, 3, 6, 2, 2, 1

- 平均値（x̄）：データの合計をデータの個数で割ります。
- 中央値（x_{med}）：データを小さい順に並べ替え、真ん中の値を取ります。
- 最頻値（x_{mode}）：最も頻度が高いデータの値です。"
A4,エクセルでの方法,"エクセルを使って代表値を計算する方法を紹介します。
1. 出力したいセルをダブルクリックして入力モードにします。
2. 半角で「=」と打ってから、続けて以下のエクセル関数を入力します。
- 平均値： =AVERAGE(data)
- 中央値： =MEDIAN(data)
- 最頻値： =MODE(data)
ここで、dataはデータ範囲のことを指します（手入力か、マウスで範囲選択）。"
A4,まとめ,"今回学んだ内容は以下の通りです。
- 平均値、中央値、最頻値の計算方法とその特性
- 各指標の長所と短所
- エクセルを使った代表値の計算方法
代表値を正しく理解し、適切に使用することで、データの特性をより深く理解できるようになります。小テストを忘れずに受験してください。"
A5,データを指標から捉える,前回は、データ全体を1つの数値で代表する「代表値」を学びました。代表値はデータ全体の中心を表すものですが、ヒストグラムの全ての情報を指標化したものではありません。特に、ヒストグラムは「分布」であり、データには「散らばり」があります。今回は、データの散らばりを示す指標を学びます。
A5,データの散らばり,"例えば、以下のように同じ平均値6を持つ2つの集団AとBがあるとします。
- 集団A: 3, 11, -4, 7, 2, 6, 7, 10, 12
- 集団B: 5, 6, 7, 8, 5, 6, 8, 5, 4
この2つの集団は同じ平均値を持ちますが、ばらつき具合が全く異なります。このような場合、平均値だけでは集団の違いを捉えることができません。ヒストグラムを描いただけでは、印象論に過ぎず、客観的な散らばりの指標が必要です。"
A5,範囲,"データの散らばりを捉える基本的な指標の一つに「範囲」があります。

範囲 = 最大値 - 最小値

範囲はデータの最大値と最小値を用いるため、すぐに計算できます。シンプルな指標ですが、これだけでも集団間の散らばりを比較することができます。ただし、範囲は極端な値だけを見ているため、中央付近の散らばりを捉えることはできません。"
A5,範囲の計算,"集団Aと集団Bの範囲を計算してみましょう。

- 集団Aの範囲：12 - (-4) = 16
- 集団Bの範囲：8 - 4 = 4"
A5,四分位範囲,"範囲よりも詳細な散らばりの指標として「四分位範囲」があります。そのために、まず「四分位数」を学びます。四分位数は、全体のデータを小さい順に並べたとき、データを4等分する順位の数のことです。
- 第1四分位数（Q1）：全データの25%点
- 第2四分位数（Q2）：全データの50%点（中央値）
- 第3四分位数（Q3）：全データの75%点

四分位範囲は、第3四分位数から第1四分位数を引いた値です。

四分位範囲 = Q3 - Q1

範囲は極端な値を見ていますが、四分位範囲は順位に基づくため、極端な値に依存しにくい散らばりの指標です。"
A5,四分位範囲の計算,"集団Aと集団Bの四分位範囲を計算してみましょう。

- 集団A: Q1 = 2.5, Q3 = 10.5 → 四分位範囲 = 10.5 - 2.5 = 8
- 集団B: Q1 = 5, Q3 = 6 → 四分位範囲 = 6 - 5 = 1"
A5,箱ひげ図,四分位範囲を可視化するグラフが「箱ひげ図」です。箱ひげ図は、四分位数に基づく分布の状態を箱とひげで表現します。非常に優れたグラフであり、ヒストグラムに近い情報量を持ちます。箱ひげ図を使えば、具体的な値を計算せずに直観的に散らばりを把握できます。
A5,例：修学年数と年収の関係,修学年数ごとに四分位範囲が異なる例があります。中央値を横に見ていくと、やや右上がりの関係が見られます。このように、箱ひげ図を用いることで、データの散らばりを視覚的に捉えることができます。
A5,エクセルでの方法,"エクセルを使って四分位数や箱ひげ図を作成する方法を紹介します。
- 第1四分位数： =QUARTILE.EXC(data, 1)
- 第2四分位数： =QUARTILE.EXC(data, 2)
- 第3四分位数： =QUARTILE.EXC(data, 3)

箱ひげ図の作り方は、データの範囲を選択し、挿入タブの箱ひげ図を選択するだけです。"
A5,まとめ,"今回学んだ内容は以下の通りです。
- 範囲
- 四分位数・四分位範囲
- 箱ひげ図
- エクセルでの方法

これらの指標を使ってデータの散らばりを正確に把握し、適切に解釈することが重要です。小テストの受験を忘れずに行いましょう。"
A6,データを指標から捉える,前回はデータの散らばりの指標である四分位範囲を学びました。四分位範囲はデータの順位のみから散らばり度を判定しましたが、数学的には扱いにくく、言葉で表現するのも難しい側面があります。今回は、散らばり指標の続きとして分散と標準偏差を学びます。
A6,分散とは,分散はデータの観測値が平均からどれほど離れて分布しているかを測る指標です。これによりデータの散らばり具合を理解できます。
A6,分散の定義,"分散の説明の前に、新しい言葉「偏差」を導入します。偏差は各データの平均値からの乖離を示します。

偏差_i = x_i - x̄

偏差の合計は必ずゼロになります。なぜなら、正の偏差と負の偏差が相殺されるからです。そこで、偏差を2乗してプラスの値に変換し、それを平均化することで分散を定義します。

s^2 = (1/n) Σ (x_i - x̄)^2

分散とは各データの「偏差の2乗」を全て足して、データの個数 n で割ったものです。"
A6,分散の計算例,"例えば、 n = 3 で、 x_1 = 1, x_2 = 3, x_3 = 8 というデータなら、

s^2 = (1/3) {(1 - 4)^2 + (3 - 4)^2 + (8 - 4)^2} = (26/3) ≈ 8.7"
A6,別の例,"別の例で計算してみます。 x_i が以下のデータの場合、

x_i = -1, 5, 7, 5

平均 x̄ は4であり、偏差と偏差の2乗は以下のようになります。

偏差 = -5, 1, 3, 1

偏差の2乗 = 25, 1, 9, 1

分散は

s^2 = (36/4) = 9"
A6,分散の注意点,"1. 分散が大きいほど散らばりが大きく、小さいほど散らばりが小さいことを意味します。
2. 分散の最小値は0です。これは全てのデータが同じ値のときに達成されます。
3. 分散の値だけからは平均値の情報は得られません。分散が大きくても平均値が大きいとは限りません。
4. 分散の絶対値そのものは解釈しづらいため、集団間の散らばりの比較に使うことが主な用途です。"
A6,分散の公式,"分散はデータごとの偏差を計算しないといけないため計算が面倒ですが、以下の公式を使うと計算が簡単になります。

s^2 = (1/n) Σ x_i^2 - (1/n Σ x_i)^2

「 x の2乗の平均 - x の平均の2乗」と覚えておくと便利です。"
A6,標準偏差,"分散は散らばりの指標にはなりますが、その値自体の解釈が難しいため、分散の平方根を取って単位を元に戻した標準偏差を使います。

s = √s^2

標準偏差はデータ全体の平均的な偏差と考えることができます。例として、ある集団の身長が平均158cm、標準偏差10cmなら、データは158cmを中心に約10cm平均的に散らばって分布していると解釈できます。"
A6,標準偏差の例,"先ほどの例で分散 s^2 = 9 だったので、標準偏差は

s = √9 = 3"
A6,標準化,"標準化はどんなデータでも平均0、標準偏差1の新しい人工データに変換する操作です。これにより全く異なる散らばりを持つ集団の間の比較が容易になります。

標準化データ z_i は以下のように定義されます。

z_i = (x_i - x̄) / s

標準化データは共通の物差しで比較することができるため、異なる単位を持つ2つの集団の間ですら比較可能です。標準化の有名な応用例が偏差値です。"
A6,偏差値,"偏差値は標準化データを平均50、標準偏差10に調整した値です。

偏差値_i = 10 * z_i + 50

偏差値が50なら平均と同じ、50以上なら平均以上、50以下なら平均以下を意味します。例えば、Aさんの英語の偏差値が60で数学が40なら、英語が相対的に得意で数学は相対的に不得意ということになります。"
A6,エクセルでの方法,"エクセルを使って分散や標準偏差を計算する方法は以下の通りです。

分散： =VAR.P(data)
標準偏差： =STDEV.P(data)

STDEVは標準偏差（Standard Deviation）に由来します。覚えにくいですが、覚えるしかありません。"
A6,まとめ,"今回学んだ内容は以下の通りです。

分散とその計算方法
分散の公式
標準偏差とその解釈
標準化と偏差値

これらの指標を使ってデータの散らばりを正確に把握し、適切に解釈することが重要です。小テストの受験を忘れずに行いましょう。"
