ID,場面,ついしてしまう声掛け・子育ての悩み,子育てアドバイス・望ましい言い換え
74,伝え方,いいからやって！,何から始めるか、子供にきめてもらう
75,伝え方,忘れているよ！,忘れるべきでない「理由」を言う
76,伝え方,車来るよ！よく見て！,耳からの情報に反応させる
77,伝え方,泣き止んで！,理由を聞いて、気持ちを認めてあげる
78,伝え方,それダメ！,やることを具体的に伝える
79,伝え方,まだ遊んでいいよ！,言っていることと表情を一致させる
80,伝え方,頼み事がスムーズに！,短く区切って伝える
81,伝え方,子供とどう話せばいい？,オウム返しでも成立する
82,伝え方,今日何したか聞きたいとき,朝に会話のきっかけを作っておく
83,伝え方,子供と話す言葉づかいが難しい,語尾をなにぬねのにする
84,伝え方,赤ちゃん返りかも！,ちゃんと見ているよと伝える
85,伝え方,問題行動発生！,大好きな〇〇ちゃんと愛情を伝える
86,伝え方,やってほしいことを伝えたい！,スマホの写真で、できている状態を見せる
87,伝え方,忙しくて関われない！,鏡を使って、愛されている自分を見せる
88,伝え方,愛情を伝えたいけど難しい,このおもちゃパパも好きだな
89,伝え方,愛情を伝える意味って？,おうちで愛情をもらうと外で頑張れる
90,伝え方,約束したのに,守れる約束にして、成功体験を重ねる
91,𠮟り方・ほめ方,叱ると怒るの違いは？,この子が幸せになりますように、と思いながら言えたかどうか
92,𠮟り方・ほめ方,怒ってしまいそう！,スキンシップに切り替える
93,𠮟り方・ほめ方,叱ってばかりいる,遠くから叱る。ほめるときは近くでほめる。
94,𠮟り方・ほめ方,きつく叱りすぎている,大人の心の天気が晴れになるときを待つ
95,𠮟り方・ほめ方,片づけてって言ったのに！,気持ちは認めて、行動だけ叱る
96,𠮟り方・ほめ方,悪い子だね！,悪い子はNGワード。行動だけを叱る
97,𠮟り方・ほめ方,いうことを聞いて！,収まる量を見計らって伝える
98,𠮟り方・ほめ方,ちゃんと聞きなさい！,落ち着いてできる遊びに誘導する
99,𠮟り方・ほめ方,叩いちゃダメ！,ルールを決めて、遊びにしよう
100,𠮟り方・ほめ方,なんで！,「理由を聞く」と「叱る」は分ける
101,𠮟り方・ほめ方,なんでできないの？,どうしてできなかったんだろう？に言い換える
102,𠮟り方・ほめ方,ほめ方が分からない,見てくれてるんだ！と思わせる
103,𠮟り方・ほめ方,ほめるところがない,できていることをほめる
104,𠮟り方・ほめ方,やる気を出してほしい,ママみたい！と伝える
105,𠮟り方・ほめ方,効果倍増のほめ方は？,誰かをはさんでほめる
106,𠮟り方・ほめ方,上手だね！,好きなところをほめる
107,𠮟り方・ほめ方,自信を持ってほしい,できたことを言葉にすると自己肯定感が高まる
108,𠮟り方・ほめ方,ほめても響いていない,行動よりも気持ちをほめる
109,𠮟り方・ほめ方,えらい！いい子！,嬉しかった、助かったと大人のハッピーを表現する
110,𠮟り方・ほめ方,まだだよ！,途中でほめて、残りを応援する
111,𠮟り方・ほめ方,それはまだ！,できなかったことは無理にほめない
112,𠮟り方・ほめ方,そんなことないですよ,子供をほめられたら、そうなんです！という
